Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1.0,Nate Reuvers,F,31,31,26.2,4.7,10.6,0.448,1.0,2.9,0.337,3.8,7.7,0.49,0.494,2.6,3.3,0.786,1.1,3.4,4.5,0.6,0.5,1.9,1.5,3.1,13.1,,2020
2.0,Micah Potter,F,21,3,17.5,3.6,6.9,0.528,1.1,2.4,0.451,2.5,4.4,0.57,0.608,1.8,2.0,0.86,1.6,4.7,6.2,0.4,0.4,1.0,1.6,1.7,10.1,,2020
3.0,Kobe King,G,19,19,28.5,3.8,8.4,0.459,0.4,1.5,0.25,3.5,6.9,0.504,0.481,1.9,2.9,0.673,1.2,1.7,2.8,1.6,0.5,0.3,1.5,1.4,10.0,,2020
4.0,Brad Davison,G,30,30,30.9,3.1,7.8,0.395,1.6,4.4,0.359,1.5,3.4,0.441,0.496,2.2,2.6,0.844,0.5,3.8,4.3,1.9,0.8,0.0,0.9,2.4,9.9,,2020
5.0,D'Mitrik Trice,G,31,31,32.2,3.4,8.8,0.38,1.8,4.8,0.376,1.5,4.0,0.384,0.482,1.3,1.8,0.745,0.3,3.8,4.0,4.2,0.8,0.1,1.7,1.2,9.8,,2020
6.0,Aleem Ford,F,31,31,25.1,3.1,7.2,0.432,1.3,3.9,0.342,1.8,3.3,0.539,0.525,1.1,1.6,0.694,1.2,3.2,4.4,1.1,0.5,0.4,1.0,2.0,8.6,,2020
7.0,Brevin Pritzl,G,31,7,27.1,2.6,6.8,0.389,1.6,4.4,0.37,1.0,2.5,0.421,0.507,1.1,1.3,0.85,0.8,3.0,3.7,0.7,0.5,0.2,0.7,1.6,8.0,,2020
8.0,Tyler Wahl,F,31,3,15.4,1.1,2.5,0.43,0.2,0.9,0.214,0.9,1.6,0.549,0.468,0.2,0.6,0.389,1.1,1.5,2.6,1.0,0.6,0.2,1.1,2.1,2.6,,2020
9.0,Trevor Anderson,G,31,0,12.3,0.6,1.6,0.388,0.2,0.8,0.28,0.4,0.8,0.5,0.459,0.4,0.5,0.786,0.2,1.1,1.3,1.2,0.1,0.0,0.5,0.6,1.8,,2020
10.0,Walt McGrory,G,14,0,4.1,0.4,0.9,0.385,0.1,0.5,0.286,0.2,0.4,0.5,0.462,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.1,0.0,0.1,0.6,1.1,,2020
11.0,Michael Ballard,G,10,0,0.9,0.1,0.1,1.0,0.0,0.0,,0.1,0.1,1.0,1.0,0.2,0.2,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,,2020
12.0,Joe Hedstrom,C,6,0,2.3,0.2,0.3,0.5,0.0,0.0,,0.2,0.3,0.5,0.5,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.0,0.2,0.5,0.3,,2020
13.0,Courtland Cuevas,F,6,0,1.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,,2020
14.0,Carter Higginbottom,G,9,0,1.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,2020
15.0,Samad Qawi,F,7,0,0.9,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,,2020
,Team Totals,,31,31,200.8,23.5,55.4,0.425,8.7,24.6,0.352,14.9,30.8,0.483,0.503,11.4,14.9,0.764,8.1,25.8,33.9,12.0,4.5,3.7,10.0,15.4,67.2,,2020
