Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1.0,D'Mitrik Trice,G,31,31,33.3,4.6,11.3,0.41,2.0,5.4,0.373,2.6,6.0,0.443,0.499,2.6,3.3,0.792,0.1,3.3,3.4,4.0,0.8,0.0,1.8,1.6,13.9,,2021
2.0,Micah Potter,F,31,20,22.2,4.5,9.0,0.504,1.3,3.3,0.386,3.3,5.8,0.57,0.573,2.2,2.6,0.84,1.8,4.1,5.9,1.4,0.5,0.7,1.4,2.0,12.5,,2021
3.0,Brad Davison,G,31,31,31.0,2.9,8.5,0.345,2.0,5.2,0.389,0.9,3.3,0.275,0.464,2.1,2.5,0.868,0.3,3.2,3.5,2.4,1.1,0.0,0.9,2.3,10.0,,2021
4.0,Aleem Ford,F,31,31,26.4,3.2,7.9,0.406,1.5,4.4,0.341,1.7,3.5,0.486,0.5,0.8,1.0,0.781,0.8,3.4,4.2,1.1,0.6,0.5,0.9,2.0,8.7,,2021
5.0,Nate Reuvers,F,31,24,21.0,3.2,7.7,0.42,0.6,2.0,0.286,2.6,5.6,0.469,0.458,1.3,1.6,0.78,1.0,2.3,3.3,0.7,0.3,1.3,1.0,2.2,8.3,,2021
6.0,Johnny Davis,G,31,0,24.3,2.8,6.3,0.441,0.5,1.2,0.389,2.3,5.1,0.453,0.477,1.0,1.4,0.727,1.1,3.0,4.1,1.1,1.1,0.6,1.1,2.1,7.0,,2021
7.0,Tyler Wahl,F,31,18,24.7,1.9,4.3,0.436,0.3,1.2,0.278,1.5,3.1,0.495,0.474,1.1,1.9,0.567,1.1,3.2,4.3,1.4,1.0,0.7,0.9,2.2,5.2,,2021
8.0,Trevor Anderson,G,29,0,14.2,1.1,2.1,0.532,0.4,0.8,0.542,0.7,1.3,0.526,0.637,0.4,0.6,0.667,0.3,1.1,1.4,1.2,0.2,0.0,0.4,0.8,3.1,,2021
9.0,Ben Carlson,F,7,0,9.1,0.9,1.6,0.545,0.1,0.4,0.333,0.7,1.1,0.625,0.591,1.0,1.1,0.875,0.1,0.7,0.9,0.6,0.1,0.4,0.1,1.4,2.9,,2021
10.0,Steven Crowl,F,12,0,3.3,0.3,0.7,0.5,0.0,0.1,0.0,0.3,0.6,0.571,0.5,0.0,0.0,,0.3,0.4,0.8,0.2,0.0,0.1,0.3,0.8,0.7,,2021
11.0,Jordan Davis,G,13,0,1.5,0.2,0.5,0.5,0.2,0.4,0.4,0.1,0.1,1.0,0.667,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.6,,2021
12.0,Joe Hedstrom,C,9,0,1.7,0.1,0.4,0.25,0.1,0.1,1.0,0.0,0.3,0.0,0.375,0.1,0.2,0.5,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.4,0.4,,2021
13.0,Carter Gilmore,F,9,0,1.9,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.1,1.0,0.2,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0.2,,2021
14.0,Carter Higginbottom,G,9,0,1.1,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.0,,2021
15.0,Justin Taphorn,G,6,0,1.3,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,2021
16.0,Walt McGrory,G,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2021
,Team Totals,,31,31,201.6,24.7,58.3,0.425,8.7,23.8,0.364,16.1,34.5,0.466,0.499,11.7,15.3,0.768,8.2,25.4,33.6,13.4,5.6,4.0,9.0,16.1,69.9,,2021
