Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
1.0,AJ Storr,G,36,36,28.8,6.0,13.8,0.434,1.3,4.2,0.32,4.7,9.7,0.483,0.482,3.5,4.3,0.812,1.1,2.8,3.9,0.9,0.6,0.1,1.6,1.1,16.8,,2024
2.0,Steven Crowl,F,36,36,29.0,4.3,7.8,0.556,0.7,1.6,0.448,3.6,6.1,0.584,0.602,1.8,2.5,0.742,2.4,4.9,7.3,2.1,0.3,0.5,1.7,2.6,11.2,,2024
3.0,Tyler Wahl,F,36,36,28.4,4.1,7.6,0.535,0.1,0.4,0.188,4.0,7.1,0.556,0.54,2.4,3.7,0.659,1.9,3.5,5.4,1.9,1.1,0.6,1.7,2.6,10.6,,2024
4.0,Max Klesmit,G,36,36,28.7,3.3,7.5,0.437,1.8,4.6,0.398,1.4,2.9,0.5,0.559,1.6,1.9,0.824,0.3,1.9,2.1,1.9,0.9,0.1,1.1,2.1,9.9,,2024
5.0,Chucky Hepburn,G,35,35,33.3,3.3,7.7,0.429,1.1,3.3,0.322,2.2,4.4,0.51,0.498,1.6,2.2,0.737,0.6,2.7,3.3,3.9,2.1,0.1,1.2,2.0,9.2,,2024
6.0,John Blackwell,G,34,1,18.5,2.4,5.4,0.446,0.9,1.9,0.455,1.5,3.5,0.441,0.527,2.3,2.8,0.821,0.7,2.5,3.2,0.6,0.4,0.1,0.8,1.9,8.0,,2024
7.0,Connor Essegian,G,33,0,7.3,1.1,2.9,0.385,0.6,2.0,0.303,0.5,0.9,0.567,0.49,0.3,0.3,0.909,0.1,0.8,0.8,0.2,0.1,0.0,0.4,0.7,3.2,,2024
8.0,Nolan Winter,F,36,0,9.4,0.8,2.0,0.423,0.3,1.1,0.308,0.5,0.9,0.563,0.507,0.4,0.6,0.696,0.4,1.3,1.8,0.3,0.2,0.0,0.3,0.9,2.4,,2024
9.0,Kamari McGee,G,25,0,8.2,0.8,1.4,0.543,0.1,0.4,0.273,0.6,1.0,0.667,0.586,0.4,0.7,0.611,0.1,0.7,0.8,0.4,0.5,0.0,0.3,1.3,2.1,,2024
10.0,Carter Gilmore,F,33,0,9.2,0.6,1.2,0.487,0.1,0.4,0.25,0.5,0.8,0.593,0.526,0.6,0.7,0.792,0.7,0.7,1.4,0.5,0.1,0.0,0.5,1.2,1.8,,2024
11.0,Markus Ilver,F,27,0,5.9,0.4,1.3,0.314,0.3,1.0,0.25,0.1,0.3,0.571,0.414,0.1,0.1,0.667,0.4,0.9,1.3,0.2,0.2,0.1,0.2,0.7,1.1,,2024
12.0,Isaac Lindsey,G,16,0,3.7,0.3,0.8,0.308,0.1,0.4,0.143,0.2,0.4,0.5,0.346,0.1,0.1,0.5,0.1,0.3,0.4,0.2,0.1,0.1,0.2,0.6,0.6,,2024
13.0,Chris Hodges,F,11,0,1.9,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.1,0.4,0.25,0.4,0.2,0.5,0.2,0.0,0.3,0.0,0.0,0.1,,2024
14.0,Isaac Gard,G,6,0,1.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,2024
15.0,Luke Haertle,G,11,0,1.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,,2024
,Team Totals,,36,36,202.1,26.4,57.4,0.461,7.1,20.4,0.349,19.3,37.0,0.522,0.522,14.7,19.4,0.755,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5,74.7,,2024
