Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
D'Mitrik Trice,0,SR,G,6-0,184,"Huber Heights, OH",IMG Academy,,"13.9 Pts, 3.4 Reb, 4.0 Ast"
Micah Potter,11,SR,F,6-10,248,"Mentor, OH",Mentor High School,,"12.5 Pts, 5.9 Reb, 1.4 Ast"
Brad Davison,34,SR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"10.0 Pts, 3.5 Reb, 2.4 Ast"
Aleem Ford,2,SR,F,6-8,217,"Lawrenceville, GA",IMG Academy,,"8.7 Pts, 4.2 Reb, 1.1 Ast"
Nate Reuvers,35,SR,F,6-11,235,"Lakeville, MN",Lakeville North High School,68 (2017),"8.3 Pts, 3.3 Reb, 0.7 Ast"
Johnny Davis,1,FR,G,6-5,196,"La Crosse, WI",La Crosse Central HS,,"7.0 Pts, 4.1 Reb, 1.1 Ast"
Tyler Wahl,5,SO,F,6-9,220,"Lakeville, MN",North HS,,"5.2 Pts, 4.3 Reb, 1.4 Ast"
Trevor Anderson,21,SR,G,6-3,195,"Stevens Point, WI",Stevens Point High School,,"3.1 Pts, 1.4 Reb, 1.2 Ast"
Ben Carlson,20,FR,F,6-9,218,"Woodbury, MN",East Ridge HS,,"2.9 Pts, 0.9 Reb, 0.6 Ast"
Steven Crowl,22,FR,F,7-0,217,"Eagan, MN",Eastview HS,,"0.7 Pts, 0.8 Reb, 0.2 Ast"
Jordan Davis,24,FR,G,6-4,202,"La Crosse, WI",La Crosse Central HS,,"0.6 Pts, 0.1 Reb, 0.0 Ast"
Joe Hedstrom,32,SO,C,7-0,247,"Hopkins, MN",Hopkins HS,,"0.4 Pts, 0.3 Reb, 0.0 Ast"
Carter Gilmore,14,FR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"0.2 Pts, 0.3 Reb, 0.0 Ast"
Carter Higginbottom,4,SO,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.0 Reb, 0.1 Ast"
Walt McGrory,3,SR,G,6-3,205,"Minneapolis, MN",Edina High School,,"0.0 Pts, 0.0 Reb, 0.0 Ast"
Justin Taphorn,13,FR,G,6-5,198,"Pekin, IL",Pekin HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast"
