Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
AJ Storr,,SO,G,6-6,200,"Rockford, IL",Kankakee (IL); Bishop Gorman (NV); AZ Compass Prep (AZ); IMG Academy (FL),,"16.8 Pts, 3.9 Reb, 0.9 Ast"
Steven Crowl,22.0,JR,F,7-0,217,"Eagan, MN",Eastview HS,,"11.2 Pts, 7.3 Reb, 2.1 Ast"
Tyler Wahl,5.0,SR,F,6-9,220,"Lakeville, MN",North HS,,"10.6 Pts, 5.4 Reb, 1.9 Ast"
Max Klesmit,11.0,JR,G,6-3,180,"Neenah, WI",Neenah HS,,"9.9 Pts, 2.1 Reb, 1.9 Ast"
Chucky Hepburn,,JR,G,6-2,211,"Omaha, NE",Bellevue West (NE),,"9.2 Pts, 3.3 Reb, 3.9 Ast"
John Blackwell,25.0,FR,G,6-4,194,"Highland Park, MI",Brother Rice (MI),,"8.0 Pts, 3.2 Reb, 0.6 Ast"
Connor Essegian,,SO,G,6-4,185,"Fort Wayne, IN",Central Noble (IN),,"3.2 Pts, 0.8 Reb, 0.2 Ast"
Nolan Winter,31.0,FR,F,6-11,220,"Lakeville, MN",Lakeville North (MN),90 (2023),"2.4 Pts, 1.8 Reb, 0.3 Ast"
Carter Gilmore,7.0,JR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"1.8 Pts, 1.4 Reb, 0.5 Ast"
Kamari McGee,4.0,JR,G,6-0,180,"Racine, WI",Racine St. Catherine's HS,,"2.1 Pts, 0.8 Reb, 0.4 Ast"
Markus Ilver,35.0,JR,F,6-8,219,"Tallinn, Estonia",Western Reserve Academy,,"1.1 Pts, 1.3 Reb, 0.2 Ast"
Isaac Lindsey,,JR,G,6-4,190,"Mineral Point, WI",Mineral Point HS,,"0.6 Pts, 0.4 Reb, 0.2 Ast"
Chris Hodges,21.0,SO,F,6-9,239,"Schaumburg, IL",Schaumburg HS,,"0.1 Pts, 0.5 Reb, 0.2 Ast"
Isaac Gard,15.0,SO,G,6-2,165,"Oregon, WI",Oregon (WI),,"0.0 Pts, 0.0 Reb, 0.0 Ast"
Luke Haertle,12.0,FR,G,6-3,215,"Hartland, WI",Lake County Lutheran (WI),,"0.0 Pts, 0.2 Reb, 0.0 Ast"
