Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
1,2023-11-06,Arkansas State,76,REG (Non-Conf),W,105,Arkansas State,76,,39,24,60,59,.650,.407,6,4,12,21,.500,.190,33,20,48,38,.688,.526,.700,.441,21,24,30,33,.700,.727,6,8,24,18,30,26,17,7,7,7,3,0,14,17,24,21
2,2023-11-10,Tennessee,80,REG (Non-Conf),L,70,Tennessee,80,,25,28,61,56,.410,.500,6,5,24,17,.250,.294,19,23,37,39,.514,.590,.459,.545,14,19,23,23,.609,.826,9,6,20,28,29,34,10,10,3,3,2,3,9,10,17,22
3,2023-11-14,Providence,72,REG (Non-Conf),L,59,Providence,72,,21,24,62,41,.339,.585,5,8,20,18,.250,.444,16,16,42,23,.381,.696,.379,.683,12,16,12,27,1.000,.593,12,2,17,27,29,29,6,11,6,5,1,3,12,16,23,16
4,2023-11-17,Robert Morris,68,REG (Non-Conf),W,78,Robert Morris,68,,24,24,45,52,.533,.462,3,13,13,29,.231,.448,21,11,32,23,.656,.478,.567,.587,27,7,40,9,.675,.778,8,7,18,18,26,25,9,8,11,4,2,2,9,21,15,32
5,2023-11-20,Virginia,41,REG (Non-Conf),W,65,Virginia,41,,25,15,62,46,.403,.326,8,4,18,14,.444,.286,17,11,44,32,.386,.344,.468,.370,7,7,8,7,.875,1.000,17,3,27,16,44,19,15,10,4,5,1,8,7,8,7,10
6,2023-11-22,SMU,61,REG (Non-Conf),W,69,SMU,61,,26,23,62,51,.419,.451,5,8,24,16,.208,.500,21,15,38,35,.553,.429,.460,.529,12,7,13,12,.923,.583,14,8,21,15,35,23,7,8,11,3,1,3,8,15,10,18
7,2023-11-27,Western Illinois,49,REG (Non-Conf),W,71,Western Illinois,49,,25,15,47,38,.532,.395,8,4,22,13,.364,.308,17,11,25,25,.680,.440,.617,.447,13,15,16,24,.813,.625,7,5,21,16,28,21,9,6,5,3,0,4,7,13,15,21
8,2023-12-02,Marquette,64,REG (Non-Conf),W,75,Marquette,64,,23,23,54,55,.426,.418,5,7,20,29,.250,.241,18,16,34,26,.529,.615,.472,.482,24,11,28,14,.857,.786,12,6,21,12,33,18,9,11,6,5,1,1,12,11,13,21
9,2023-12-05,Michigan State,57,REG (Conf),W,70,Michigan State,57,,23,23,51,51,.451,.451,10,6,23,19,.435,.316,13,17,28,32,.464,.531,.549,.510,14,5,14,7,1.000,.714,11,5,24,17,35,22,17,15,5,5,2,5,10,7,12,14
10,2023-12-09,Arizona,98,REG (Non-Conf),L,73,Arizona,98,,29,35,70,60,.414,.583,10,12,21,26,.476,.462,19,23,49,34,.388,.676,.486,.683,5,16,8,26,.625,.615,6,4,18,33,24,37,13,26,3,5,0,6,8,7,18,16
11,2023-12-14,Jacksonville State,60,REG (Non-Conf),W,75,Jacksonville State,60,,26,24,55,52,.473,.462,5,6,16,15,.313,.400,21,18,39,37,.538,.486,.518,.519,18,6,26,8,.692,.750,10,4,20,20,30,24,11,7,10,3,0,6,8,15,13,20
12,2023-12-22,Chicago State,53,REG (Non-Conf),W,80,Chicago State,53,,28,20,56,63,.500,.317,4,3,15,19,.267,.158,24,17,41,44,.585,.386,.536,.341,20,10,26,17,.769,.588,9,13,27,20,36,33,14,3,4,4,4,2,7,7,14,22
13,2024-01-02,Iowa,72,REG (Conf),W,83,Iowa,72,,27,27,52,62,.519,.435,4,7,16,17,.250,.412,23,20,36,45,.639,.444,.558,.492,25,11,35,16,.714,.688,8,6,29,23,37,29,15,13,9,5,3,3,13,14,15,22
14,2024-01-06,Nebraska,72,REG (Conf),W,88,Nebraska,72,,33,26,60,53,.550,.491,13,12,26,26,.500,.462,20,14,34,27,.588,.519,.658,.604,9,8,13,11,.692,.727,7,3,24,22,31,25,18,16,6,4,0,4,8,12,13,16
15,2024-01-10,Ohio State,60,REG (Conf),W,71,Ohio State,60,,27,25,57,55,.474,.455,7,6,22,18,.318,.333,20,19,35,37,.571,.514,.535,.509,10,4,11,10,.909,.400,5,4,23,21,28,25,14,10,5,2,3,7,5,7,13,12
16,2024-01-13,Northwestern,63,REG (Conf),W,71,Northwestern,63,,22,23,44,54,.500,.426,7,6,14,21,.500,.286,15,17,30,33,.500,.515,.580,.481,20,11,26,15,.769,.733,7,5,20,19,27,24,13,9,5,6,1,1,12,9,16,24
17,2024-01-16,Penn State,87,REG (Conf),L,83,Penn State,87,,28,32,58,60,.483,.533,7,8,16,20,.438,.400,21,24,42,40,.500,.600,.543,.600,20,15,23,20,.870,.750,11,3,24,19,35,22,15,11,2,8,4,6,13,5,16,22
18,2024-01-19,Indiana,79,REG (Conf),W,91,Indiana,79,,28,28,47,52,.596,.538,10,6,21,14,.476,.429,18,22,26,38,.692,.579,.702,.596,25,17,29,21,.862,.810,3,7,19,14,22,21,14,7,8,3,0,2,9,10,19,23
19,2024-01-23,Minnesota,59,REG (Conf),W,61,Minnesota,59,,23,22,54,58,.426,.379,7,10,17,24,.412,.417,16,12,37,34,.432,.353,.491,.466,8,5,10,13,.800,.385,5,7,24,21,29,28,14,15,5,5,5,7,10,9,13,14
20,2024-01-26,Michigan State,66,REG (Conf),W,81,Michigan State,66,,29,25,57,60,.509,.417,9,6,25,14,.360,.429,20,19,32,46,.625,.413,.588,.467,14,10,19,12,.737,.833,9,6,21,17,30,23,11,12,4,3,1,1,6,6,15,17
21,2024-02-01,Nebraska,80,REG (Conf),L,72,Nebraska,80,OT,27,26,64,58,.422,.448,10,9,31,27,.323,.333,17,17,33,31,.515,.548,.500,.526,8,19,12,26,.667,.731,9,7,30,27,39,34,8,15,8,9,2,2,16,12,18,13
22,2024-02-04,Purdue,75,REG (Conf),L,69,Purdue,75,,27,27,65,57,.415,.474,3,3,19,11,.158,.273,24,24,46,46,.522,.522,.438,.500,12,18,14,23,.857,.783,9,11,18,27,27,38,15,12,6,4,4,3,5,11,21,16
23,2024-02-07,Michigan,72,REG (Conf),L,68,Michigan,72,,25,23,54,51,.463,.451,5,7,19,20,.263,.350,20,16,35,31,.571,.516,.509,.520,13,19,19,25,.684,.760,5,7,18,27,23,34,7,6,5,4,0,5,11,12,18,19
24,2024-02-10,Rutgers,78,REG (Conf),L,56,Rutgers,78,,19,30,58,67,.328,.448,5,10,21,17,.238,.588,14,20,37,50,.378,.400,.371,.522,13,8,22,9,.591,.889,9,10,27,31,36,41,7,18,3,8,2,9,11,7,14,19
25,2024-02-13,Ohio State,54,REG (Conf),W,62,Ohio State,54,,22,23,50,56,.440,.411,7,7,21,18,.333,.389,15,16,29,38,.517,.421,.510,.473,11,1,16,2,.688,.500,10,6,27,18,37,24,13,9,4,7,0,3,11,8,12,16
26,2024-02-17,Iowa,88,REG (Conf),L,86,Iowa,88,OT,30,30,63,57,.476,.526,7,4,16,14,.438,.286,23,26,47,43,.489,.605,.532,.561,19,24,28,30,.679,.800,7,5,21,27,28,32,20,16,5,4,1,6,7,9,22,21
27,2024-02-20,Maryland,70,REG (Conf),W,74,Maryland,70,,21,24,47,52,.447,.462,4,5,17,15,.235,.333,17,19,30,37,.567,.514,.489,.510,28,17,31,23,.903,.739,8,4,25,18,33,22,6,9,3,5,3,2,12,9,19,25
28,2024-02-27,Indiana,74,REG (Conf),L,70,Indiana,74,,30,29,69,47,.435,.617,8,6,26,14,.308,.429,22,23,43,33,.512,.697,.493,.681,2,10,3,15,.667,.667,9,4,17,26,26,30,10,17,10,1,0,7,2,12,14,8
29,2024-03-02,Illinois,91,REG (Conf),L,83,Illinois,91,,30,29,60,56,.500,.518,6,9,16,16,.375,.563,24,20,44,40,.545,.500,.550,.598,17,24,23,30,.739,.800,8,8,20,21,28,29,10,9,4,3,2,4,8,8,24,18
30,2024-03-07,Rutgers,66,REG (Conf),W,78,Rutgers,66,,27,25,60,56,.450,.446,9,7,19,21,.474,.333,18,18,41,35,.439,.514,.525,.509,15,9,23,15,.652,.600,13,8,26,20,39,28,13,11,14,11,2,4,12,17,11,20
31,2024-03-10,Purdue,78,REG (Conf),L,70,Purdue,78,,27,26,62,53,.435,.491,5,9,24,18,.208,.500,22,17,38,35,.579,.486,.476,.575,11,17,14,21,.786,.810,7,10,15,25,22,35,10,21,11,5,0,3,8,13,19,17
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
32,2024-03-14,Maryland,56,CTOURN,W,87,Maryland,56,,31,22,60,56,.517,.393,16,6,25,15,.640,.400,15,16,35,41,.429,.390,.650,.446,9,6,11,10,.818,.600,9,6,26,13,35,19,25,10,5,7,2,4,12,11,17,11
33,2024-03-15,Northwestern,61,CTOURN,W,70,Northwestern,61,,24,20,52,53,.462,.377,10,8,22,23,.455,.348,14,12,30,30,.467,.400,.558,.453,12,13,18,17,.667,.765,4,6,26,22,30,28,15,12,6,6,3,4,9,9,17,16
34,2024-03-16,Purdue,75,CTOURN,W,76,Purdue,75,OT,32,23,74,51,.432,.451,7,5,32,16,.219,.313,25,18,42,35,.595,.514,.480,.500,5,24,9,32,.556,.750,9,9,18,30,27,39,18,18,8,3,0,5,5,15,28,17
35,2024-03-17,Illinois,93,CTOURN,L,87,Illinois,93,,30,30,64,57,.469,.526,7,7,20,20,.350,.350,23,23,44,37,.523,.622,.523,.588,20,26,23,30,.870,.867,10,11,15,24,25,35,17,14,7,2,1,5,7,9,20,19
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
36,2024-03-22,James Madison,72,ROUND-64,L,61,James Madison,72,,19,23,51,56,.373,.411,8,5,21,17,.381,.294,11,18,30,39,.367,.462,.451,.455,15,21,23,30,.652,.700,7,8,26,27,33,35,13,12,6,14,3,4,19,11,19,20
,,,2520,,22-14,2688,,2520,,952,896,2067,1961,.461,.457,256,248,734,672,.349,.369,696,648,1333,1289,.522,.503,.522,.520,528,480,699,663,.755,.724,309,232,797,779,1106,1011,458,424,224,181,59,144,342,392,594,658
