About,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,36.0,40.4,26.4,57.4,.461,19.3,37.0,.522,7.1,20.4,.349,14.7,19.4,.755,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5,74.7
Rank,,,150th,251st,87th,134th,163rd,118th,219th,244th,129th,122nd,166th,45th,195th,280th,261st,220th,210th,359th,327th,208th,147th
Opponent,36.0,40.4,24.9,54.5,.457,18.0,35.8,.503,6.9,18.7,.369,13.3,18.4,.724,7.7,23.2,30.9,11.8,5.0,4.0,11.3,18.3,70.0
Rank,,,130th,36th,297th,160th,149th,205th,126th,35th,342nd,173rd,164th,222nd,8th,65th,16th,143rd,27th,310th,121st,288th,113th
