Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
1,2024-11-04,Holy Cross,61,REG (Non-Conf),W,85,Holy Cross,61,,29,23,59,53,.492,.434,11,9,31,24,.355,.375,18,14,28,29,.643,.483,.585,.519,16,6,16,7,1.000,.857,7,3,25,17,32,20,15,8,7,4,2,2,11,12,14,20
2,2024-11-07,Montana State,67,REG (Non-Conf),W,79,Montana State,67,,24,24,53,54,.453,.444,11,12,22,26,.500,.462,13,12,31,28,.419,.429,.557,.556,20,7,21,10,.952,.700,6,4,21,18,27,22,15,12,6,6,2,6,11,13,14,18
3,2024-11-10,Appalachian State,56,REG (Non-Conf),W,87,Appalachian State,56,,33,21,70,56,.471,.375,8,7,28,24,.286,.292,25,14,42,32,.595,.438,.529,.438,13,7,16,13,.813,.538,13,9,27,22,40,31,17,11,14,2,1,2,6,18,18,19
4,2024-11-15,Arizona,88,REG (Non-Conf),W,103,Arizona,88,,25,28,52,74,.481,.378,12,4,27,23,.444,.174,13,24,25,51,.520,.471,.596,.405,41,28,47,40,.872,.700,1,17,24,27,25,44,17,6,7,5,4,1,9,13,31,32
5,2024-11-18,Texas–Rio Grande Valley,84,REG (Non-Conf),W,87,Texas–Rio Grande Valley,84,,26,31,53,63,.491,.492,8,13,20,33,.400,.394,18,18,33,30,.545,.600,.566,.595,27,9,32,11,.844,.818,8,7,20,20,28,27,10,12,5,7,1,1,9,8,16,24
6,2024-11-22,UCF,70,REG (Non-Conf),W,86,UCF,70,,32,21,66,62,.485,.339,10,2,31,17,.323,.118,22,19,35,45,.629,.422,.561,.355,12,26,16,37,.750,.703,8,11,30,27,38,38,21,10,5,5,3,3,13,10,26,17
7,2024-11-24,Pittsburgh,75,REG (Non-Conf),W,81,Pittsburgh,75,,29,30,60,60,.483,.500,5,5,20,23,.250,.217,24,25,40,37,.600,.676,.525,.542,18,10,22,13,.818,.769,7,5,22,22,29,27,12,11,3,1,0,0,6,8,16,19
8,2024-11-30,Chicago State,53,REG (Non-Conf),W,74,Chicago State,53,,23,20,59,59,.390,.339,10,6,30,24,.333,.250,13,14,29,35,.448,.400,.475,.390,18,7,21,7,.857,1.000,9,7,28,26,37,33,17,8,3,3,4,5,8,10,10,20
9,2024-12-03,Michigan,67,REG (Conf),L,64,Michigan,67,,22,23,64,59,.344,.390,6,6,27,25,.222,.240,16,17,37,34,.432,.500,.391,.441,14,15,19,21,.737,.714,11,10,23,29,34,39,8,16,7,7,2,11,10,12,18,17
10,2024-12-07,Marquette,88,REG (Non-Conf),L,74,Marquette,88,,24,31,52,62,.462,.500,10,8,26,26,.385,.308,14,23,26,36,.538,.639,.558,.565,16,18,18,21,.889,.857,11,10,19,18,30,28,16,17,3,9,1,3,14,5,18,17
11,2024-12-10,Illinois,86,REG (Conf),L,80,Illinois,86,,28,27,63,64,.444,.422,10,10,29,33,.345,.303,18,17,34,31,.529,.548,.524,.500,14,22,21,25,.667,.880,9,15,18,23,27,38,15,15,5,3,2,2,11,13,21,22
12,2024-12-14,Butler,74,REG (Non-Conf),W,83,Butler,74,,26,22,58,51,.448,.431,6,8,25,25,.240,.320,20,14,33,26,.606,.538,.500,.510,25,22,27,32,.926,.688,4,4,27,26,31,30,19,12,2,1,1,4,3,6,22,20
13,2024-12-22,Detroit Mercy,53,REG (Non-Conf),W,76,Detroit Mercy,53,,26,22,64,66,.406,.333,7,4,35,8,.200,.500,19,18,29,58,.655,.310,.461,.364,17,5,19,6,.895,.833,13,7,33,22,46,29,13,5,4,4,6,1,9,8,13,17
14,2025-01-03,Iowa,85,REG (Conf),W,116,Iowa,85,,40,32,62,66,.645,.485,21,9,31,24,.677,.375,19,23,31,42,.613,.548,.815,.553,15,12,17,18,.882,.667,7,6,28,14,35,20,26,13,4,7,0,1,12,9,16,13
15,2025-01-06,Rutgers,63,REG (Conf),W,75,Rutgers,63,,31,25,57,73,.544,.342,7,7,22,26,.318,.269,24,18,35,47,.686,.383,.605,.390,6,6,6,13,1.000,.462,6,13,32,18,38,31,15,10,5,8,5,6,16,8,15,16
16,2025-01-10,Minnesota,59,REG (Conf),W,80,Minnesota,59,,25,22,57,57,.439,.386,11,7,28,19,.393,.368,14,15,29,38,.483,.395,.535,.447,19,8,24,13,.792,.615,9,10,25,22,34,32,14,9,9,5,2,3,7,15,13,19
17,2025-01-14,Ohio State,68,REG (Conf),W,70,Ohio State,68,,20,25,48,59,.417,.424,5,5,22,17,.227,.294,15,20,26,42,.577,.476,.469,.466,25,13,28,15,.893,.867,6,9,25,22,31,31,6,10,2,7,2,2,12,11,19,24
18,2025-01-18,Southern California,69,REG (Conf),W,84,Southern California,69,,31,26,55,53,.564,.491,9,6,28,15,.321,.400,22,20,27,38,.815,.526,.645,.547,13,11,15,17,.867,.647,4,6,18,18,22,24,17,13,8,6,1,0,11,15,14,18
19,2025-01-21,UCLA,85,REG (Conf),L,83,UCLA,85,,25,29,49,57,.510,.509,15,6,30,19,.500,.316,10,23,19,38,.526,.605,.663,.561,18,21,21,28,.857,.750,4,10,18,14,22,24,14,15,3,6,1,4,13,6,23,21
20,2025-01-26,Nebraska,55,REG (Conf),W,83,Nebraska,55,,30,21,63,62,.476,.339,17,10,37,30,.459,.333,13,11,26,32,.500,.344,.611,.419,6,3,8,8,.750,.375,3,6,38,24,41,30,18,13,5,4,3,4,8,11,11,11
21,2025-01-29,Maryland,76,REG (Conf),L,68,Maryland,76,,22,24,59,60,.373,.400,9,12,27,24,.333,.500,13,12,32,36,.406,.333,.449,.500,15,16,21,21,.714,.762,9,9,25,28,34,37,12,13,2,4,3,4,9,7,19,18
22,2025-02-01,Northwestern,69,REG (Conf),W,75,Northwestern,69,,22,25,53,59,.415,.424,13,11,32,28,.406,.393,9,14,21,31,.429,.452,.538,.517,18,8,21,9,.857,.889,6,6,25,22,31,28,13,16,2,5,1,4,8,5,14,17
23,2025-02-04,Indiana,64,REG (Conf),W,76,Indiana,64,,26,23,60,57,.433,.404,12,7,29,27,.414,.259,14,16,31,30,.452,.533,.533,.465,12,11,17,15,.706,.733,7,9,26,27,33,36,13,9,8,5,3,3,6,11,15,14
24,2025-02-08,Iowa,63,REG (Conf),W,74,Iowa,63,,24,24,61,63,.393,.381,12,8,35,25,.343,.320,12,16,26,38,.462,.421,.492,.444,14,7,17,9,.824,.778,10,10,27,25,37,35,15,12,5,5,2,3,9,9,14,15
25,2025-02-15,Purdue,84,REG (Conf),W,94,Purdue,84,,32,29,52,56,.615,.518,12,10,30,22,.400,.455,20,19,22,34,.909,.559,.731,.607,18,16,24,21,.750,.762,2,3,21,21,23,24,18,21,2,2,4,0,3,4,14,21
26,2025-02-18,Illinois,74,REG (Conf),W,95,Illinois,74,,34,26,65,60,.523,.433,10,10,24,30,.417,.333,24,16,41,30,.585,.533,.600,.517,17,12,22,14,.773,.857,12,9,25,20,37,29,17,13,12,6,1,5,10,14,14,18
27,2025-02-22,Oregon,77,REG (Conf),L,73,Oregon,77,OT,30,30,65,72,.462,.417,7,8,28,23,.250,.348,23,22,37,49,.622,.449,.515,.472,6,9,6,12,1.000,.750,5,7,32,24,37,31,9,8,6,9,1,5,17,8,14,14
28,2025-02-25,Washington,62,REG (Conf),W,88,Washington,62,,33,26,64,58,.516,.448,10,7,30,22,.333,.318,23,19,34,36,.676,.528,.594,.509,12,3,16,8,.750,.375,12,6,26,19,38,25,15,10,7,5,1,5,5,10,9,15
29,2025-03-02,Michigan State,71,REG (Conf),L,62,Michigan State,71,,22,28,65,71,.338,.394,5,9,32,27,.156,.333,17,19,33,44,.515,.432,.377,.458,13,6,16,13,.813,.462,6,11,32,38,38,49,9,20,3,4,4,6,9,9,15,17
30,2025-03-05,Minnesota,67,REG (Conf),W,74,Minnesota,67,,24,26,55,63,.436,.413,5,7,22,20,.227,.350,19,19,33,43,.576,.442,.482,.468,21,8,24,15,.875,.533,6,11,25,18,31,29,18,16,4,3,3,3,11,6,16,22
31,2025-03-08,Penn State,86,REG (Conf),L,75,Penn State,86,,25,31,69,55,.362,.564,10,11,31,19,.323,.579,15,20,38,36,.395,.556,.435,.664,15,13,17,19,.882,.684,10,3,22,30,32,33,11,21,7,5,2,7,8,13,18,16
Gtm,Date,Opp,Opp,Type,Rslt,Tm,Opp,Opp,OT,FG,FG,FGA,FGA,FG%,FG%,3P,3P,3PA,3PA,3P%,3P%,2P,2P,2PA,2PA,2P%,2P%,eFG%,eFG%,FT,FT,FTA,FTA,FT%,FT%,ORB,ORB,DRB,DRB,TRB,TRB,AST,AST,STL,STL,BLK,BLK,TOV,TOV,PF,PF
32,2025-03-13,Northwestern,63,CTOURN,W,70,Northwestern,63,,22,20,53,54,.415,.370,8,5,25,20,.320,.250,14,15,28,34,.500,.441,.491,.417,18,18,23,22,.783,.818,8,11,23,23,31,34,12,9,8,4,1,3,10,12,17,20
33,2025-03-14,UCLA,70,CTOURN,W,86,UCLA,70,,30,22,58,68,.517,.324,19,9,32,30,.594,.300,11,13,26,38,.423,.342,.681,.390,7,17,13,26,.538,.654,7,19,29,19,36,38,22,13,2,4,4,3,9,5,21,19
