Unnamed: 0,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,35.0,40.9,23.7,57.3,.414,15.9,34.2,.463,7.9,23.1,.342,9.9,14.3,.691,7.9,23.8,31.7,11.6,5.9,1.5,8.6,15.8,65.3
Rank,,,308th,214th,322nd,333rd,253rd,332nd,118th,116th,176th,349th,347th,282nd,324th,263rd,322nd,303rd,236th,358th,362nd,273rd,331st
Opponent,35.0,40.9,23.7,53.5,.444,17.5,33.9,.518,6.2,19.6,.316,9.9,14.7,.672,7.9,27.2,35.1,10.2,4.5,3.6,11.8,16.3,63.6
Rank,,,90th,31st,220th,146th,90th,283rd,52nd,83rd,59th,13th,29th,20th,12th,352nd,243rd,60th,2nd,293rd,118th,122nd,30th
