About,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,37.0,40.1,26.8,59.0,.454,16.9,30.6,.552,9.9,28.4,.348,16.6,20.2,.826,9.4,27.1,36.5,14.5,5.1,2.4,9.6,16.5,80.1
Rank,,,122nd,146th,142nd,280th,341st,49th,27th,26th,136th,26th,123rd,1st,273rd,33rd,114th,109th,339th,317th,347th,206th,36th
Opponent,37.0,40.1,25.3,60.9,.416,17.4,37.1,.469,7.9,23.8,.333,12.3,16.9,.729,9.9,24.1,34.0,12.6,4.8,3.3,10.0,18.5,70.9
Rank,,,170th,300th,61st,138th,254th,45th,234th,248th,163rd,85th,76th,242nd,125th,181st,163rd,256th,3rd,197th,28th,315th,145th
