Unnamed: 0,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,31.0,40.2,23.5,55.4,.425,14.9,30.8,.483,8.7,24.6,.352,11.4,14.9,.764,8.1,25.8,33.9,12.0,4.5,3.7,10.0,15.4,67.2
Rank,,,297th,284th,244th,338th,335th,245th,47th,64th,77th,296th,326th,21st,299th,154th,258th,258th,349th,106th,349th,316th,286th
Opponent,31.0,40.2,23.1,56.4,.410,17.1,38.0,.449,6.1,18.3,.331,9.8,14.3,.690,9.0,25.5,34.5,11.0,5.0,3.0,10.9,16.7,62.2
Rank,,,82nd,134th,69th,145th,266th,30th,52nd,33rd,187th,20th,19th,93rd,98th,211th,154th,95th,21st,130th,19th,99th,14th
