About,About,About,About,About,About,Score,Score,Score,Score,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2022-11-07,,South Dakota,REG (Non-Conf),W,85,59,,23,57,.404,2,15,.133,21,42,.500,.421,11,17,.647,6,25,31,7,5,2,10,20
2,2,2022-11-11,N,Stanford,REG (Non-Conf),W,60,50,,17,47,.362,1,16,.063,16,31,.516,.372,15,23,.652,6,28,34,6,5,9,16,20
3,3,2022-11-15,,Green Bay,REG (Non-Conf),W,56,45,,15,44,.341,2,14,.143,13,30,.433,.364,13,23,.565,2,21,23,6,9,2,9,18
4,4,2022-11-23,N,Dayton,REG (Non-Conf),W,43,42,,16,53,.302,4,27,.148,12,26,.462,.340,6,9,.667,8,32,40,6,4,4,15,13
5,5,2022-11-24,N,Kansas,REG (Non-Conf),L,68,69,OT,24,62,.387,9,29,.310,15,33,.455,.460,12,21,.571,12,31,43,15,5,2,13,18
6,6,2022-11-25,N,Southern California,REG (Non-Conf),W,64,59,,23,56,.411,11,23,.478,12,33,.364,.509,2,6,.333,8,25,33,12,2,5,13,14
7,7,2022-11-29,,Wake Forest,REG (Non-Conf),L,75,78,,29,54,.537,8,24,.333,21,30,.700,.611,12,16,.750,8,22,30,8,3,2,15,20
8,8,2022-12-03,@,Marquette,REG (Non-Conf),W,80,77,OT,27,53,.509,9,20,.450,18,33,.545,.594,14,20,.700,7,18,25,14,10,1,12,16
9,9,2022-12-06,,Maryland,REG (Conf),W,64,59,,21,55,.382,10,24,.417,11,31,.355,.473,7,12,.583,8,29,37,9,4,6,14,20
10,10,2022-12-11,@,Iowa,REG (Conf),W,78,75,OT,27,64,.422,7,27,.259,20,37,.541,.477,14,17,.824,9,31,40,18,8,2,15,16
11,11,2022-12-15,,Lehigh,REG (Non-Conf),W,78,56,,25,51,.490,4,14,.286,21,37,.568,.529,2,2,1.000,3,17,20,9,6,3,13,11
12,,2022-12-23,,Grambling State,REG (Non-Conf),,,,,,,,,,,,,,,,,,,,,,,,,
13,13,2022-12-30,,Western Michigan,REG (Non-Conf),W,76,66,,26,57,.456,12,29,.414,14,28,.500,.561,2,5,.400,8,22,30,12,2,1,4,15
14,14,2023-01-03,,Minnesota,REG (Conf),W,63,60,,24,55,.436,5,14,.357,19,41,.463,.482,7,11,.636,9,28,37,7,5,2,20,10
15,15,2023-01-07,@,Illinois,REG (Conf),L,69,79,,25,53,.472,10,19,.526,15,34,.441,.566,19,26,.731,7,30,37,14,5,6,10,14
16,16,2023-01-10,,Michigan State,REG (Conf),L,65,69,,23,44,.523,7,13,.538,16,31,.516,.602,16,17,.941,3,29,32,10,3,3,13,12
17,17,2023-01-14,@,Indiana,REG (Conf),L,45,63,,29,62,.468,1,8,.125,28,54,.519,.476,4,5,.800,8,32,40,10,4,6,8,16
18,18,2023-01-17,,Penn State,REG (Conf),W,63,60,,22,49,.449,8,20,.400,14,29,.483,.531,8,11,.727,4,27,31,10,3,5,10,21
19,19,2023-01-23,@,Northwestern,REG (Conf),L,63,66,,22,51,.431,6,16,.375,16,35,.457,.490,16,18,.889,7,24,31,9,3,1,5,22
20,20,2023-01-25,@,Maryland,REG (Conf),L,55,73,,28,50,.560,6,14,.429,22,36,.611,.620,11,14,.786,7,24,31,15,5,5,8,10
21,21,2023-01-28,,Illinois,REG (Conf),L,51,61,,22,51,.431,6,20,.300,16,31,.516,.490,11,18,.611,6,28,34,7,2,5,11,14
22,22,2023-02-02,@,Ohio State,REG (Conf),W,65,60,,24,56,.429,4,14,.286,20,42,.476,.464,8,13,.615,9,32,41,9,5,3,16,20
23,23,2023-02-05,,Northwestern,REG (Conf),L,52,54,,21,45,.467,4,15,.267,17,30,.567,.511,8,13,.615,6,27,33,11,5,5,9,14
24,24,2023-02-08,@,Penn State,REG (Conf),W,79,74,OT,29,59,.492,9,23,.391,20,36,.556,.568,7,11,.636,6,23,29,13,5,1,10,21
25,25,2023-02-11,@,Nebraska,REG (Conf),L,63,73,OT,25,54,.463,8,22,.364,17,32,.531,.537,15,23,.652,8,34,42,8,8,3,15,13
26,26,2023-02-14,,Michigan,REG (Conf),W,64,59,,24,57,.421,5,16,.313,19,41,.463,.465,6,10,.600,8,29,37,7,2,5,11,15
27,27,2023-02-18,,Rutgers,REG (Conf),L,57,58,,23,52,.442,7,17,.412,16,35,.457,.510,5,5,1.000,3,26,29,14,2,4,8,10
28,28,2023-02-22,,Iowa,REG (Conf),W,64,52,,20,62,.323,3,28,.107,17,34,.500,.347,9,13,.692,12,15,27,8,3,2,6,19
29,29,2023-02-26,@,Michigan,REG (Conf),L,79,87,OT,29,59,.492,7,21,.333,22,38,.579,.551,22,26,.846,5,30,35,7,4,6,12,17
