About,About,About,About,About,About,Score,Score,Score,Score,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
30,30,2023-03-02,,Purdue,REG (Conf),L,61,63,,24,48,.500,4,19,.211,20,29,.690,.542,11,18,.611,10,26,36,11,3,1,10,11
31,31,2023-03-05,@,Minnesota,REG (Conf),W,71,67,,25,48,.521,6,18,.333,19,30,.633,.583,11,19,.579,4,18,22,18,5,4,11,20
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
32,32,2023-03-08,N,Ohio State,CTOURN,L,57,65,,23,44,.523,6,13,.462,17,31,.548,.591,13,20,.650,6,27,33,8,8,3,16,18
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
33,33,2023-03-14,,Bradley,NIT,W,81,62,,25,61,.410,5,23,.217,20,38,.526,.451,7,14,.500,8,27,35,9,1,2,11,20
34,34,2023-03-19,,Liberty,NIT,W,75,71,,26,55,.473,8,27,.296,18,28,.643,.545,11,17,.647,5,20,25,11,0,4,7,23
35,35,2023-03-21,@,Oregon,NIT,W,61,58,,24,55,.436,6,21,.286,18,34,.529,.491,4,12,.333,6,29,35,12,5,8,9,15
36,36,2023-03-28,N,North Texas,NIT,L,54,56,,21,48,.438,7,23,.304,14,25,.560,.510,7,10,.700,5,23,28,8,9,2,10,13
,,,,,,20-15,2284,2225,,831,1871,.444,217,686,.316,614,1185,.518,.502,346,515,.672,237,909,1146,358,158,125,395,569
