About,About,About,About,About,About,Score,Score,Score,Score,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
10.0,10.0,2019-12-11,@,Rutgers,REG (Conf),L,65,72,,29,63,0.46,5,19,0.263,24,44,0.545,0.5,9,13,0.692,11,23,34,10,8,3,11,19
11.0,11.0,2019-12-21,,Milwaukee,REG (Non-Conf),W,83,64,,22,52,0.423,8,17,0.471,14,35,0.4,0.5,12,19,0.632,6,20,26,9,3,2,11,22
12.0,12.0,2019-12-28,@,Tennessee,REG (Non-Conf),W,68,48,,16,46,0.348,6,18,0.333,10,28,0.357,0.413,10,19,0.526,10,25,35,12,5,3,17,14
13.0,13.0,2019-12-31,,Rider,REG (Non-Conf),W,65,37,,15,61,0.246,2,14,0.143,13,47,0.277,0.262,5,7,0.714,5,27,32,5,10,1,12,16
14.0,14.0,2020-01-03,@,Ohio State,REG (Conf),W,61,57,,19,47,0.404,6,20,0.3,13,27,0.481,0.468,13,17,0.765,6,23,29,8,4,1,14,17
15.0,15.0,2020-01-08,,Illinois,REG (Conf),L,70,71,,28,57,0.491,7,16,0.438,21,41,0.512,0.553,8,15,0.533,6,20,26,11,1,2,7,22
16.0,16.0,2020-01-11,@,Penn State,REG (Conf),W,58,49,,17,52,0.327,5,21,0.238,12,31,0.387,0.375,10,14,0.714,5,27,32,8,6,5,10,14
17.0,17.0,2020-01-14,,Maryland,REG (Conf),W,56,54,,19,47,0.404,7,22,0.318,12,25,0.48,0.479,9,13,0.692,10,25,35,7,2,0,14,14
18.0,18.0,2020-01-17,@,Michigan State,REG (Conf),L,55,67,,27,58,0.466,6,16,0.375,21,42,0.5,0.517,7,10,0.7,9,30,39,20,4,2,11,13
19.0,19.0,2020-01-21,,Nebraska,REG (Conf),W,82,68,,26,60,0.433,6,22,0.273,20,38,0.526,0.483,10,15,0.667,8,25,33,12,6,3,10,13
20.0,20.0,2020-01-24,@,Purdue,REG (Conf),L,51,70,,27,60,0.45,9,19,0.474,18,41,0.439,0.525,7,9,0.778,15,24,39,15,8,5,11,10
21.0,21.0,2020-01-27,@,Iowa,REG (Conf),L,62,68,,20,60,0.333,3,20,0.15,17,40,0.425,0.358,25,32,0.781,11,31,42,10,2,7,9,15
22.0,22.0,2020-02-01,,Michigan State,REG (Conf),W,64,63,,25,63,0.397,10,25,0.4,15,38,0.395,0.476,3,4,0.75,7,28,35,14,5,3,12,16
23.0,23.0,2020-02-05,@,Minnesota,REG (Conf),L,52,70,,25,61,0.41,9,22,0.409,16,39,0.41,0.484,11,16,0.688,8,33,41,16,5,5,5,15
24.0,24.0,2020-02-09,,Ohio State,REG (Conf),W,70,57,,18,49,0.367,6,19,0.316,12,30,0.4,0.429,15,16,0.938,9,21,30,7,5,4,13,16
25.0,25.0,2020-02-15,@,Nebraska,REG (Conf),W,81,64,,25,65,0.385,8,25,0.32,17,40,0.425,0.446,6,12,0.5,8,26,34,15,7,2,10,12
26.0,26.0,2020-02-18,,Purdue,REG (Conf),W,69,65,,25,63,0.397,7,19,0.368,18,44,0.409,0.452,8,10,0.8,15,21,36,13,5,1,9,24
27.0,27.0,2020-02-23,,Rutgers,REG (Conf),W,79,71,,30,60,0.5,4,14,0.286,26,46,0.565,0.533,7,10,0.7,7,25,32,13,8,2,10,21
28.0,28.0,2020-02-27,@,Michigan,REG (Conf),W,81,74,,31,60,0.517,3,10,0.3,28,50,0.56,0.542,9,15,0.6,4,23,27,8,5,4,5,17
29.0,29.0,2020-03-01,,Minnesota,REG (Conf),W,71,69,,26,58,0.448,4,19,0.211,22,39,0.564,0.483,13,23,0.565,10,28,38,6,1,4,9,21
30.0,30.0,2020-03-04,,Northwestern,REG (Conf),W,63,48,,17,54,0.315,3,15,0.2,14,39,0.359,0.343,11,15,0.733,6,25,31,14,2,5,11,17
31.0,31.0,2020-03-07,@,Indiana,REG (Conf),W,60,56,,20,58,0.345,6,15,0.4,14,43,0.326,0.397,10,15,0.667,11,24,35,9,6,1,7,13
,,,,,,21-10,2082,1927,,717,1747,0.41,188,568,0.331,529,1179,0.449,0.464,305,442,0.69,244,747,991,342,154,92,335,518
