About,About,About,About,About,About,Score,Score,Score,Score,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,Unnamed: 3_level_1,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1.0,1.0,2019-11-05,N,St. Mary's (CA),REG (Non-Conf),L,63,65,OT,24,61,0.393,8,18,0.444,16,43,0.372,0.459,9,13,0.692,11,22,33,10,6,2,14,20
2.0,2.0,2019-11-08,,Eastern Illinois,REG (Non-Conf),W,65,52,,21,63,0.333,7,19,0.368,14,44,0.318,0.389,3,8,0.375,10,23,33,9,6,4,11,22
3.0,3.0,2019-11-13,,McNeese State,REG (Non-Conf),W,83,63,,21,45,0.467,8,21,0.381,13,24,0.542,0.556,13,17,0.765,4,17,21,13,4,2,18,21
4.0,4.0,2019-11-17,,Marquette,REG (Non-Conf),W,77,61,,19,51,0.373,9,19,0.474,10,32,0.313,0.461,14,17,0.824,5,22,27,9,2,3,15,16
5.0,5.0,2019-11-21,,Green Bay,REG (Non-Conf),W,88,70,,29,61,0.475,4,20,0.2,25,41,0.61,0.508,8,11,0.727,3,20,23,16,8,3,9,16
6.0,6.0,2019-11-25,N,Richmond,REG (Non-Conf),L,52,62,,26,56,0.464,6,17,0.353,20,39,0.513,0.518,4,6,0.667,4,27,31,12,7,3,10,16
7.0,7.0,2019-11-26,N,New Mexico,REG (Non-Conf),L,50,59,,22,50,0.44,3,13,0.231,19,37,0.514,0.47,12,15,0.8,7,24,31,13,3,1,13,17
8.0,8.0,2019-12-04,@,NC State,REG (Non-Conf),L,54,69,,27,56,0.482,8,20,0.4,19,36,0.528,0.554,7,10,0.7,3,20,23,6,7,6,5,10
9.0,9.0,2019-12-07,,Indiana,REG (Conf),W,84,64,,21,50,0.42,5,14,0.357,16,36,0.444,0.47,17,26,0.654,10,18,28,12,3,3,12,19
