Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
John Tonje,9,SR,G,6-5,222,"Omaha, NE",Omaha Central HS,,"19.6 Pts, 5.3 Reb, 1.8 Ast"
John Blackwell,25,SO,G,6-4,194,"Highland Park, MI",Brother Rice (MI),,"15.8 Pts, 5.1 Reb, 2.2 Ast"
Steven Crowl,22,SR,F,7-0,217,"Eagan, MN",Eastview HS,,"9.9 Pts, 5.3 Reb, 2.4 Ast"
Nolan Winter,31,SO,F,6-11,220,"Lakeville, MN",Lakeville North (MN),90 (2023),"9.4 Pts, 5.8 Reb, 1.1 Ast"
Max Klesmit,11,SR,G,6-3,180,"Neenah, WI",Neenah HS,,"9.2 Pts, 2.4 Reb, 2.7 Ast"
Kamari McGee,4,SR,G,6-0,180,"Racine, WI",Racine St. Catherine's HS,,"6.5 Pts, 2.7 Reb, 1.8 Ast"
Carter Gilmore,7,SR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"3.9 Pts, 2.6 Reb, 1.3 Ast"
Xavier Amos,13,JR,F,6-8,210,"Chicago, IL",Whitney Young (IL),,"3.5 Pts, 1.8 Reb, 0.4 Ast"
Jack Janicki,33,FR,G,6-5,190,"White Bear Lake, MN",White Bear Lake (MN),,"1.9 Pts, 1.4 Reb, 0.8 Ast"
Markus Ilver,35,SR,F,6-8,219,"Tallinn, Estonia",Western Reserve Academy,,"1.6 Pts, 0.5 Reb, 0.1 Ast"
Riccardo Greppi,18,FR,F,6-10,255,"Lecco, Italy",Villafrut Verona (Italy),,"0.9 Pts, 1.1 Reb, 0.1 Ast"
Jack Robison,2,FR,F,6-5,190,"Lakeville, MN",Lakeville North (MN),,"0.5 Pts, 0.3 Reb, 0.1 Ast"
Isaac Gard,15,JR,G,6-2,165,"Oregon, WI",Oregon (WI),,"0.2 Pts, 0.2 Reb, 0.1 Ast"
Camren Hunter,3,JR,G,6-3,200,"Bryant, AR",Bryant HS,,"0.3 Pts, 0.5 Reb, 0.1 Ast"
Daniel Freitag,5,FR,G,6-2,195,"Bloomington, MN",Breck (MN),,"0.1 Pts, 0.3 Reb, 0.2 Ast"
Chris Hodges,21,JR,F,6-9,239,"Schaumburg, IL",Schaumburg HS,,"0.1 Pts, 0.0 Reb, 0.0 Ast"
Aidan Konop,14,FR,G,6-2,195,"Sussex, WI",Sussex Hamilton (WI),,"0.0 Pts, 0.0 Reb, 0.0 Ast"
