Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
22,2022-02-05,Penn State,49,REG (Conf),W,51,Penn State,49,,21,18,56,57,.375,.316,6,9,21,30,.286,.300,15,9,35,27,.429,.333,.429,.395,3,4,6,5,.500,.800,5,6,31,27,36,33,10,7,3,7,4,3,8,10,13,14,2022
23,2022-02-08,Michigan State,62,REG (Conf),W,70,Michigan State,62,,25,22,53,53,.472,.415,6,3,18,14,.333,.214,19,19,35,39,.543,.487,.528,.443,14,15,22,18,.636,.833,4,5,25,23,29,28,12,15,6,5,3,1,7,12,17,20,2022
24,2022-02-12,Rutgers,73,REG (Conf),L,65,Rutgers,73,,26,25,55,49,.473,.510,4,7,19,12,.211,.583,22,18,36,37,.611,.486,.509,.582,9,16,17,18,.529,.889,7,4,20,25,27,29,13,11,8,10,0,3,11,13,18,20,2022
25,2022-02-15,Indiana,69,REG (Conf),W,74,Indiana,69,,24,25,52,61,.462,.410,4,5,16,18,.250,.278,20,20,36,43,.556,.465,.500,.451,22,14,29,18,.759,.778,6,7,28,22,34,29,8,14,4,3,2,4,13,12,16,25,2022
26,2022-02-20,Michigan,63,REG (Conf),W,77,Michigan,63,,29,25,58,64,.500,.391,4,4,13,25,.308,.160,25,21,45,39,.556,.538,.534,.422,15,9,16,13,.938,.692,4,12,23,24,27,36,7,11,7,5,5,2,8,11,16,19,2022
27,2022-02-23,Minnesota,67,REG (Conf),W,68,Minnesota,67,,24,23,47,50,.511,.460,5,8,14,19,.357,.421,19,15,33,31,.576,.484,.564,.540,15,13,22,19,.682,.684,10,3,28,15,38,18,15,18,2,4,2,3,12,5,18,20,2022
28,2022-02-26,Rutgers,61,REG (Conf),W,66,Rutgers,61,,23,24,54,53,.426,.453,9,4,20,17,.450,.235,14,20,34,36,.412,.556,.509,.491,11,9,17,15,.647,.600,6,4,24,27,30,31,9,6,8,6,1,5,9,12,17,17,2022
29,2022-03-01,Purdue,67,REG (Conf),W,70,Purdue,67,,26,24,61,56,.426,.429,7,8,22,21,.318,.381,19,16,39,35,.487,.457,.484,.500,11,11,12,20,.917,.550,7,8,23,26,30,34,9,10,6,4,4,1,6,10,17,16,2022
30,2022-03-06,Nebraska,74,REG (Conf),L,73,Nebraska,74,,24,29,60,54,.400,.537,5,5,23,18,.217,.278,19,24,37,36,.514,.667,.442,.583,20,11,25,14,.800,.786,11,5,20,19,31,24,9,8,7,6,4,2,9,10,16,19,2022
31,2022-03-11,Michigan State,69,CTOURN,L,63,Michigan State,69,,22,25,60,52,.367,.481,7,1,24,11,.292,.091,15,24,36,41,.417,.585,.425,.490,12,18,21,24,.571,.750,6,5,22,32,28,37,13,11,4,4,2,7,7,7,22,19,2022
