Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
22,2025-02-01,Northwestern,69,REG (Conf),W,75,Northwestern,69,,22,25,53,59,.415,.424,13,11,32,28,.406,.393,9,14,21,31,.429,.452,.538,.517,18,8,21,9,.857,.889,6,6,25,22,31,28,13,16,2,5,1,4,8,5,14,17,2025
23,2025-02-04,Indiana,64,REG (Conf),W,76,Indiana,64,,26,23,60,57,.433,.404,12,7,29,27,.414,.259,14,16,31,30,.452,.533,.533,.465,12,11,17,15,.706,.733,7,9,26,27,33,36,13,9,8,5,3,3,6,11,15,14,2025
24,2025-02-08,Iowa,63,REG (Conf),W,74,Iowa,63,,24,24,61,63,.393,.381,12,8,35,25,.343,.320,12,16,26,38,.462,.421,.492,.444,14,7,17,9,.824,.778,10,10,27,25,37,35,15,12,5,5,2,3,9,9,14,15,2025
25,2025-02-15,Purdue,84,REG (Conf),W,94,Purdue,84,,32,29,52,56,.615,.518,12,10,30,22,.400,.455,20,19,22,34,.909,.559,.731,.607,18,16,24,21,.750,.762,2,3,21,21,23,24,18,21,2,2,4,0,3,4,14,21,2025
26,2025-02-18,Illinois,74,REG (Conf),W,95,Illinois,74,,34,26,65,60,.523,.433,10,10,24,30,.417,.333,24,16,41,30,.585,.533,.600,.517,17,12,22,14,.773,.857,12,9,25,20,37,29,17,13,12,6,1,5,10,14,14,18,2025
27,2025-02-22,Oregon,77,REG (Conf),L,73,Oregon,77,OT,30,30,65,72,.462,.417,7,8,28,23,.250,.348,23,22,37,49,.622,.449,.515,.472,6,9,6,12,1.000,.750,5,7,32,24,37,31,9,8,6,9,1,5,17,8,14,14,2025
28,2025-02-25,Washington,62,REG (Conf),W,88,Washington,62,,33,26,64,58,.516,.448,10,7,30,22,.333,.318,23,19,34,36,.676,.528,.594,.509,12,3,16,8,.750,.375,12,6,26,19,38,25,15,10,7,5,1,5,5,10,9,15,2025
29,2025-03-02,Michigan State,71,REG (Conf),L,62,Michigan State,71,,22,28,65,71,.338,.394,5,9,32,27,.156,.333,17,19,33,44,.515,.432,.377,.458,13,6,16,13,.813,.462,6,11,32,38,38,49,9,20,3,4,4,6,9,9,15,17,2025
30,2025-03-05,Minnesota,67,REG (Conf),W,74,Minnesota,67,,24,26,55,63,.436,.413,5,7,22,20,.227,.350,19,19,33,43,.576,.442,.482,.468,21,8,24,15,.875,.533,6,11,25,18,31,29,18,16,4,3,3,3,11,6,16,22,2025
31,2025-03-08,Penn State,86,REG (Conf),L,75,Penn State,86,,25,31,69,55,.362,.564,10,11,31,19,.323,.579,15,20,38,36,.395,.556,.435,.664,15,13,17,19,.882,.684,10,3,22,30,32,33,11,21,7,5,2,7,8,13,18,16,2025
32,2025-03-13,Northwestern,63,CTOURN,W,70,Northwestern,63,,22,20,53,54,.415,.370,8,5,25,20,.320,.250,14,15,28,34,.500,.441,.491,.417,18,18,23,22,.783,.818,8,11,23,23,31,34,12,9,8,4,1,3,10,12,17,20,2025
33,2025-03-14,UCLA,70,CTOURN,W,86,UCLA,70,,30,22,58,68,.517,.324,19,9,32,30,.594,.300,11,13,26,38,.423,.342,.681,.390,7,17,13,26,.538,.654,7,19,29,19,36,38,22,13,2,4,4,3,9,5,21,19,2025
34,2025-03-15,Michigan State,74,CTOURN,W,77,Michigan State,74,,23,24,54,59,.426,.407,9,7,29,19,.310,.368,14,17,25,40,.560,.425,.509,.466,22,19,28,24,.786,.792,5,8,27,28,32,36,15,13,3,1,4,2,7,7,21,20,2025
35,2025-03-16,Michigan,59,CTOURN,L,53,Michigan,59,,15,19,68,59,.221,.322,7,9,39,33,.179,.273,8,10,29,26,.276,.385,.272,.398,16,12,18,13,.889,.923,12,5,29,32,41,37,8,14,3,3,2,2,6,8,14,16,2025
36,2025-03-20,Montana,66,ROUND-64,W,85,Montana,66,,31,25,56,63,.554,.397,7,7,23,24,.304,.292,24,18,33,39,.727,.462,.616,.452,16,9,20,12,.800,.750,7,7,31,17,38,24,14,13,5,6,6,1,11,8,13,17,2025
37,2025-03-22,Brigham Young,91,ROUND-32,L,89,Brigham Young,91,,27,32,63,65,.429,.492,12,12,35,26,.343,.462,15,20,28,39,.536,.513,.524,.585,23,15,29,16,.793,.938,9,9,19,25,28,34,11,21,4,5,2,4,5,10,15,22,2025
38,,,2622,,27-10,2964,,2622,,991,937,2184,2252,.454,.416,366,293,1052,880,.348,.333,625,644,1132,1372,.552,.469,.538,.481,616,455,746,624,.826,.729,279,312,945,845,1224,1157,537,468,190,176,87,121,342,357,611,685,2025
