Gtm,Date,Opp,Opp.1,Type,Rslt,Tm,Opp.2,Opp.3,OT,FG,FG.1,FGA,FGA.1,FG%,FG%.1,3P,3P.1,3PA,3PA.1,3P%,3P%.1,2P,2P.1,2PA,2PA.1,2P%,2P%.1,eFG%,eFG%.1,FT,FT.1,FTA,FTA.1,FT%,FT%.1,ORB,ORB.1,DRB,DRB.1,TRB,TRB.1,AST,AST.1,STL,STL.1,BLK,BLK.1,TOV,TOV.1,PF,PF.1,seasonYear
22.0,2020-02-01,Michigan State,63,REG (Conf),W,64,Michigan State,63,,22,25,54,63,0.407,0.397,8,10,25,25,0.32,0.4,14,15,29,38,0.483,0.395,0.481,0.476,12,3,15,4,0.8,0.75,3,7,26,28,29,35,10,14,8,5,4,3,10,12,9,16,2020
23.0,2020-02-05,Minnesota,70,REG (Conf),L,52,Minnesota,70,,19,25,67,61,0.284,0.41,7,9,29,22,0.241,0.409,12,16,38,39,0.316,0.41,0.336,0.484,7,11,11,16,0.636,0.688,13,8,27,33,40,41,9,16,1,5,3,5,6,5,15,15,2020
24.0,2020-02-09,Ohio State,57,REG (Conf),W,70,Ohio State,57,,24,18,58,49,0.414,0.367,12,6,32,19,0.375,0.316,12,12,26,30,0.462,0.4,0.517,0.429,10,15,12,16,0.833,0.938,10,9,18,21,28,30,17,7,7,5,5,4,8,13,16,16,2020
25.0,2020-02-15,Nebraska,64,REG (Conf),W,81,Nebraska,64,,31,25,63,65,0.492,0.385,15,8,31,25,0.484,0.32,16,17,32,40,0.5,0.425,0.611,0.446,4,6,5,12,0.8,0.5,6,8,32,26,38,34,19,15,3,7,4,2,11,10,14,12,2020
26.0,2020-02-18,Purdue,65,REG (Conf),W,69,Purdue,65,,19,25,50,63,0.38,0.397,12,7,31,19,0.387,0.368,7,18,19,44,0.368,0.409,0.5,0.452,19,8,20,10,0.95,0.8,9,15,18,21,27,36,13,13,3,5,3,1,8,9,14,24,2020
27.0,2020-02-23,Rutgers,71,REG (Conf),W,79,Rutgers,71,,24,30,50,60,0.48,0.5,11,4,22,14,0.5,0.286,13,26,28,46,0.464,0.565,0.59,0.533,20,7,26,10,0.769,0.7,4,7,24,25,28,32,13,13,2,8,2,2,11,10,12,21,2020
28.0,2020-02-27,Michigan,74,REG (Conf),W,81,Michigan,74,,29,31,54,60,0.537,0.517,11,3,23,10,0.478,0.3,18,28,31,50,0.581,0.56,0.639,0.542,12,9,15,15,0.8,0.6,3,4,25,23,28,27,10,8,1,5,2,4,8,5,15,17,2020
29.0,2020-03-01,Minnesota,69,REG (Conf),W,71,Minnesota,69,,23,26,58,58,0.397,0.448,8,4,24,19,0.333,0.211,15,22,34,39,0.441,0.564,0.466,0.483,17,13,24,23,0.708,0.565,7,10,23,28,30,38,11,6,5,1,6,4,4,9,19,21,2020
30.0,2020-03-04,Northwestern,48,REG (Conf),W,63,Northwestern,48,,23,17,59,54,0.39,0.315,8,3,25,15,0.32,0.2,15,14,34,39,0.441,0.359,0.458,0.343,9,11,12,15,0.75,0.733,6,6,32,25,38,31,8,14,2,2,3,5,8,11,15,17,2020
31.0,2020-03-07,Indiana,56,REG (Conf),W,60,Indiana,56,,22,20,53,58,0.415,0.345,9,6,22,15,0.409,0.4,13,14,31,43,0.419,0.326,0.5,0.397,7,10,10,15,0.7,0.667,5,11,27,24,32,35,12,9,6,6,3,1,9,7,15,13,2020
,,,1927,,21-10,2082,,1927,,730,717,1718,1747,0.425,0.41,269,188,764,568,0.352,0.331,461,529,954,1179,0.483,0.449,0.503,0.464,353,305,462,442,0.764,0.69,220,244,749,747,969,991,373,342,138,154,114,92,295,335,476,518,2020
