About,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,35.0,40.6,27.9,62.0,.450,16.3,29.7,.547,11.7,32.3,.362,15.4,19.5,.788,10.3,25.3,35.5,16.0,5.6,3.1,9.0,17.0,83.0
Rank,,,89th,41st,191st,328th,346th,82nd,4th,7th,56th,145th,222nd,6th,239th,122nd,160th,64th,303rd,210th,9th,153rd,35th
Opponent,35.0,40.6,27.3,61.2,.446,18.9,36.3,.522,8.3,24.9,.334,13.3,18.3,.728,9.9,25.0,34.9,13.9,4.6,3.7,10.0,17.3,76.1
Rank,,,288th,301st,201st,262nd,231st,226th,269th,280th,163rd,90th,91st,214th,113th,273rd,215th,219th,3rd,285th,322nd,196th,239th
